zcyc

tradedate;tradetime;period_5.0
02.10.2014;18:39:55;9,47
03.10.2014;18:39:13;9,59
06.10.2014;18:33:09;9,59
07.10.2014;18:39:19;9,69
08.10.2014;18:39:59;9,81
09.10.2014;18:39:40;9,76
10.10.2014;18:39:44;10,03
13.10.2014;18:39:16;9,97
14.10.2014;18:38:25;9,99
15.10.2014;18:38:22;10,0
16.10.2014;18:39:44;10,09
17.10.2014;18:39:56;10,06
20.10.2014;18:38:23;10,02
21.10.2014;18:36:02;9,97
22.10.2014;18:39:55;9,96
23.10.2014;18:37:30;10,14
24.10.2014;18:39:45;9,98
27.10.2014;18:38:22;10,04
28.10.2014;18:39:59;10,14
29.10.2014;18:38:02;10,37
30.10.2014;18:39:38;10,04
31.10.2014;18:39:06;10,09
03.11.2014;17:49:36;10,12
05.11.2014;18:38:36;10,21
06.11.2014;18:39:58;10,25
07.11.2014;18:38:31;10,35
10.11.2014;18:39:01;10,24
11.11.2014;18:39:45;10,35
12.11.2014;18:39:49;10,38
13.11.2014;18:37:18;10,46
14.11.2014;18:39:26;10,5
17.11.2014;18:38:30;10,6
18.11.2014;18:39:38;10,51
19.11.2014;18:36:04;10,58
20.11.2014;18:37:30;10,43
21.11.2014;18:39:19;10,39
24.11.2014;18:36:04;10,46
25.11.2014;18:38:05;10,49
26.11.2014;18:39:44;10,61
27.11.2014;18:39:14;10,74
28.11.2014;18:39:00;10,79
01.12.2014;18:39:15;10,99
02.12.2014;18:38:26;11,11
03.12.2014;18:39:07;11,37
04.12.2014;18:39:15;11,54
05.12.2014;18:39:18;12,25
08.12.2014;18:39:27;12,92
09.12.2014;18:38:00;13,09
10.12.2014;18:39:07;12,95
11.12.2014;18:37:41;12,65
12.12.2014;18:39:56;13,46
15.12.2014;18:37:52;14,01
16.12.2014;18:39:34;17,72
17.12.2014;18:34:53;15,01
18.12.2014;18:36:03;15,16
19.12.2014;18:39:42;15,19
22.12.2014;18:39:45;14,58
23.12.2014;18:39:00;14,76
24.12.2014;18:39:33;14,98
25.12.2014;18:39:27;14,98
26.12.2014;18:37:39;14,88
29.12.2014;18:35:22;15,2
30.12.2014;18:39:56;15,13
05.01.2015;15:52:47;15,18
06.01.2015;18:39:19;15,74
08.01.2015;18:38:33;15,21
09.01.2015;18:38:26;15,52
12.01.2015;18:34:05;16,3
13.01.2015;18:39:47;17,22
14.01.2015;18:39:32;16,57
15.01.2015;18:35:20;15,59
16.01.2015;18:32:07;15,1
19.01.2015;18:37:11;15,09
20.01.2015;18:38:14;15,1
21.01.2015;18:39:44;15,02
22.01.2015;18:39:15;14,78
23.01.2015;18:38:29;14,53
26.01.2015;18:38:31;15,16
27.01.2015;18:39:56;14,82
