zcyc

tradedate;tradetime;period_20.0
02.10.2014;18:39:55;9,27
03.10.2014;18:39:13;9,42
06.10.2014;18:33:09;9,48
07.10.2014;18:39:19;9,52
08.10.2014;18:39:59;9,63
09.10.2014;18:39:40;9,64
10.10.2014;18:39:44;9,78
13.10.2014;18:39:16;9,81
14.10.2014;18:38:25;9,85
15.10.2014;18:38:22;9,79
16.10.2014;18:39:44;9,85
17.10.2014;18:39:56;9,84
20.10.2014;18:38:23;9,84
21.10.2014;18:36:02;9,73
22.10.2014;18:39:55;9,7
23.10.2014;18:37:30;9,86
24.10.2014;18:39:45;9,83
27.10.2014;18:38:22;9,81
28.10.2014;18:39:59;9,87
29.10.2014;18:38:02;10,0
30.10.2014;18:39:38;9,8
31.10.2014;18:39:06;9,92
03.11.2014;17:49:36;9,95
05.11.2014;18:38:36;9,87
06.11.2014;18:39:58;9,88
07.11.2014;18:38:31;9,96
10.11.2014;18:39:01;9,96
11.11.2014;18:39:45;9,99
12.11.2014;18:39:49;9,95
13.11.2014;18:37:18;9,97
14.11.2014;18:39:26;10,02
17.11.2014;18:38:30;10,04
18.11.2014;18:39:38;10,01
19.11.2014;18:36:04;10,01
20.11.2014;18:37:30;9,93
21.11.2014;18:39:19;9,94
24.11.2014;18:36:04;9,95
25.11.2014;18:38:05;9,99
26.11.2014;18:39:44;10,06
27.11.2014;18:39:14;10,11
28.11.2014;18:39:00;10,2
01.12.2014;18:39:15;10,34
02.12.2014;18:38:26;10,36
03.12.2014;18:39:07;10,53
04.12.2014;18:39:15;10,38
05.12.2014;18:39:18;11,4
08.12.2014;18:39:27;12,04
09.12.2014;18:38:00;12,16
10.12.2014;18:39:07;12,04
11.12.2014;18:37:41;11,94
12.12.2014;18:39:56;12,25
15.12.2014;18:37:52;12,35
16.12.2014;18:39:34;14,89
17.12.2014;18:34:53;11,78
18.12.2014;18:36:03;11,43
19.12.2014;18:39:42;11,48
22.12.2014;18:39:45;10,79
23.12.2014;18:39:00;10,84
24.12.2014;18:39:33;11,1
25.12.2014;18:39:27;11,04
26.12.2014;18:37:39;11,02
29.12.2014;18:35:22;11,04
30.12.2014;18:39:56;11,04
05.01.2015;15:52:47;11,06
06.01.2015;18:39:19;11,59
08.01.2015;18:38:33;11,66
09.01.2015;18:38:26;11,76
12.01.2015;18:34:05;12,51
13.01.2015;18:39:47;12,65
14.01.2015;18:39:32;12,17
15.01.2015;18:35:20;11,76
16.01.2015;18:32:07;11,21
19.01.2015;18:37:11;11,41
20.01.2015;18:38:14;11,71
21.01.2015;18:39:44;11,55
22.01.2015;18:39:15;11,23
23.01.2015;18:38:29;11,28
26.01.2015;18:38:31;11,69
27.01.2015;18:39:56;11,53
28.01.2015;18:39:05;11,81
29.01.2015;18:17:50;11,84
30.01.2015;18:39:28;11,37
02.02.2015;18:39:58;10,99
03.02.2015;18:39:08;10,81
04.02.2015;18:39:54;10,96
05.02.2015;18:37:32;10,68
06.02.2015;18:39:04;10,64
09.02.2015;18:39:02;10,43
10.02.2015;18:38:39;10,72
11.02.2015;18:39:04;10,63
12.02.2015;18:39:32;10,54
13.02.2015;18:39:09;10,3
16.02.2015;18:39:43;10,21
17.02.2015;18:39:45;10,41
18.02.2015;18:39:19;10,6
19.02.2015;18:39:50;10,84
20.02.2015;18:39:38;10,95
24.02.2015;18:38:05;11,25
25.02.2015;18:39:00;11,12
26.02.2015;18:39:33;10,98
27.02.2015;18:39:59;11,08
02.03.2015;18:36:17;10,94
03.03.2015;18:32:29;10,77
04.03.2015;18:39:19;11,08
05.03.2015;18:39:51;11,07
06.03.2015;18:39:34;11,12
10.03.2015;18:39:52;11,33
11.03.2015;18:39:53;11,39
12.03.2015;18:37:13;11,24
13.03.2015;18:38:57;11,53
16.03.2015;18:39:23;11,99
17.03.2015;18:37:39;12,23
18.03.2015;18:39:53;12,17
19.03.2015;18:36:46;11,99
20.03.2015;18:38:49;11,71
23.03.2015;18:00:06;11,57
24.03.2015;18:27:50;11,64
25.03.2015;18:37:14;11,32
26.03.2015;18:27:37;11,12
27.03.2015;18:38:01;11,06
30.03.2015;17:45:31;11,07
