zcyc

tradedate;tradetime;period_0.75
02.10.2014;18:39:55;8,63
03.10.2014;18:39:13;8,85
06.10.2014;18:33:09;8,78
07.10.2014;18:39:19;8,74
08.10.2014;18:39:59;8,74
09.10.2014;18:39:40;8,75
10.10.2014;18:39:44;8,75
13.10.2014;18:39:16;8,74
14.10.2014;18:38:25;8,79
15.10.2014;18:38:22;8,7
16.10.2014;18:39:44;8,72
17.10.2014;18:39:56;8,52
20.10.2014;18:38:23;8,59
21.10.2014;18:36:02;8,49
22.10.2014;18:39:55;8,55
23.10.2014;18:37:30;8,65
24.10.2014;18:39:45;8,64
27.10.2014;18:38:22;8,64
28.10.2014;18:39:59;8,8
29.10.2014;18:38:02;9,1
30.10.2014;18:39:38;9,48
31.10.2014;18:39:06;9,33
03.11.2014;17:49:36;9,29
05.11.2014;18:38:36;9,5
06.11.2014;18:39:58;9,66
07.11.2014;18:38:31;9,67
10.11.2014;18:39:01;9,45
11.11.2014;18:39:45;9,6
12.11.2014;18:39:49;9,62
13.11.2014;18:37:18;9,63
14.11.2014;18:39:26;9,77
17.11.2014;18:38:30;9,72
18.11.2014;18:39:38;9,83
19.11.2014;18:36:04;9,88
20.11.2014;18:37:30;9,85
21.11.2014;18:39:19;9,77
24.11.2014;18:36:04;9,83
25.11.2014;18:38:05;9,92
26.11.2014;18:39:44;9,86
27.11.2014;18:39:14;10,01
28.11.2014;18:39:00;10,08
01.12.2014;18:39:15;10,48
02.12.2014;18:38:26;10,48
03.12.2014;18:39:07;10,56
04.12.2014;18:39:15;10,84
05.12.2014;18:39:18;11,04
08.12.2014;18:39:27;11,97
09.12.2014;18:38:00;12,26
10.12.2014;18:39:07;12,11
11.12.2014;18:37:41;11,95
12.12.2014;18:39:56;12,34
15.12.2014;18:37:52;12,39
16.12.2014;18:39:34;17,69
17.12.2014;18:34:53;14,53
18.12.2014;18:36:03;15,05
19.12.2014;18:39:42;15,56
22.12.2014;18:39:45;14,98
23.12.2014;18:39:00;15,37
24.12.2014;18:39:33;15,56
25.12.2014;18:39:27;14,96
26.12.2014;18:37:39;14,57
29.12.2014;18:35:22;13,79
30.12.2014;18:39:56;13,5
05.01.2015;15:52:47;14,19
06.01.2015;18:39:19;13,79
08.01.2015;18:38:33;14,25
09.01.2015;18:38:26;14,39
12.01.2015;18:34:05;16,21
13.01.2015;18:39:47;16,64
14.01.2015;18:39:32;15,88
15.01.2015;18:35:20;14,64
